ResponseId,MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,AIDevHaveWorkedWith,SOAI,AISelect,AISent,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,WorkExp,Industry,SurveyLength,SurveyEase,ConvertedCompYearly,SurveyYear
1,None of these,18-24 years old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
2,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,9,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,United States of America,GitHub Copilot,"I don't think it's super necessary, but I think improving search and clarifying poorly worded questions would be useful (especially for moderators/editors).",Yes,Indifferent,Somewhat distrust,Learning about a codebase;Writing code;Debugging and getting help,Writing code;Committing and reviewing code,,NA,NA,NA,NA,10,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,285000,2023
3,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,23,"Developer, back-end","5,000 to 9,999 employees",United States of America,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,250000,2023
4,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7,"Developer, front-end",100 to 499 employees,United States of America,NA,I'm wearing of Stack Overflow using AI.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,Appropriate in length,Easy,156000,2023
5,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,4,"Developer, full-stack",20 to 99 employees,Philippines,NA,Using AI to suggest better answer to my questions.,Yes,Very favorable,Somewhat trust,Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Documenting code;Debugging and getting help,,NA,NA,NA,NA,6,Other,Appropriate in length,Neither easy nor difficult,23456,2023
6,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,21,21,"Developer, back-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,GitHub Copilot;Tabnine,NA,Yes,Favorable,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,Project planning,NA,NA,NA,NA,22,Other,Appropriate in length,Neither easy nor difficult,96828,2023
7,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,4,3,"Developer, full-stack","1,000 to 4,999 employees",United States of America,GitHub Copilot,Neutral,Yes,Unfavorable,Somewhat distrust,,Writing code;Debugging and getting help,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,4,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,135000,2023
8,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,3,"Developer, full-stack",10 to 19 employees,United States of America,GitHub Copilot,NA,Yes,Favorable,Somewhat distrust,Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,Project planning;Writing code;Debugging and getting help,,NA,NA,NA,NA,5,Financial Services,NA,NA,80000,2023
9,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,15,System administrator,100 to 499 employees,Finland,NA,To suggest solutions in alternative language for example,Yes,Very favorable,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Deployment and monitoring,,,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,64254,2023
10,I am a developer by profession,25-34 years old,"Not employed, but looking for work",NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,NA,"Developer, full-stack",NA,India,AWS CodeWhisperer;GitHub Copilot;Tabnine,"AI could assist solving communication issues possibly by offering suggestions, Corrections for Gramatical errors,  Better descriptions for problems or solutions and improve search experience",Yes,Indifferent,Neither trust nor distrust,Learning about a codebase;Documenting code;Committing and reviewing code,Writing code;Debugging and getting help,Project planning;Testing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
